freq,vs
2.0,6.266355896689747e-13
2.0,4.765980118939555e-13
2.0,1.5950609295921412
2.0,0.41530087489509604
2.0,0.17902166350173848
2.0,0.09719446978963923
2.0,0.020474846942638042
2.0,0.020474846942609006
2.0,0.010246909449718017
2.0,0.010246909461997484
4.0,6.890967450155773e-14
4.0,2.6221520407288797e-15
4.0,1.5950281468443734
4.0,0.4107619346778869
4.0,0.24851431424216083
4.0,0.1355005947573645
4.0,0.041446395712765385
4.0,0.04144639571281651
4.0,0.02052265621625281
4.0,0.02052265632209826
6.0,2.0470336600605425e-14
6.0,1.1864833553391375e-14
6.0,1.5949733447954197
6.0,0.40351586326241345
6.0,0.2977764886035038
6.0,0.06345518228565782
6.0,0.06345518228571044
6.0,0.16342929056003602
6.0,0.03085718012106149
6.0,0.030857180271389208
8.0,1.3005810029258799e-14
8.0,8.03527273094721e-15
8.0,2.5067806433941228e-14
8.0,1.5948962714290638
8.0,0.3961419307198365
8.0,0.3323514875079533
8.0,0.08708311336921887
8.0,0.08708311336923606
8.0,0.1856135708169381
8.0,0.04128284612426409
8.0,0.04128284620557121
10.0,5.864084676204603e-16
10.0,1.2189971647971312e-14
10.0,1.5947965592106685
10.0,0.40059279078818383
10.0,0.343313584723665
10.0,0.11270439777357182
10.0,0.11270439777356672
10.0,0.20379762410494018
10.0,0.05183632831519948
10.0,0.05183632833879369
12.0,3.640392266641513e-15
12.0,7.61402846310248e-15
12.0,9.312657122189941e-15
12.0,1.5946737004476095
12.0,0.13932241488117275
12.0,0.13932241488114966
12.0,0.4210661165897947
12.0,0.32989780961239856
12.0,0.21878113907185037
12.0,0.06256176515299106
12.0,0.06256176516920947
14.0,8.533254862654058e-16
14.0,1.704655311679029e-14
14.0,1.594526973252194
14.0,0.16110940546852956
14.0,0.16110940546851157
14.0,0.4444300303796185
14.0,0.31205630266263407
14.0,0.2308579493832887
14.0,0.07351673231403903
14.0,0.07351673232170844
16.0,6.678012599879072e-15
16.0,0.08006678021786753
16.0,0.0800667802178529
16.0,1.5943547695588585
16.0,0.4663204982073717
16.0,0.29901744258492796
16.0,0.08477883452593371
16.0,0.0847788344241476
16.0,0.23977358952863523
18.0,1.8215719435003957e-15
18.0,2.920442203218572e-13
18.0,2.6071546612972277e-10
18.0,1.5941589635061795
18.0,0.5723617014959387
18.0,0.4827007745615366
18.0,0.09635067208546706
18.0,0.09635067193687565
18.0,0.28831149129320294
18.0,0.24354011510805065
