freq,vs
1.0,8.598602612567862e-13
1.0,1.034849042361941e-12
1.0,3.3511425246618876e-13
1.0,4.970416872983542e-13
1.0,4.143874339451007e-12
1.0,1.5118352892470356e-12
1.0,1.7417228115619033e-12
1.0,3.2291053037252267e-12
1.0,1.2912841843775146e-13
1.0,1.0206450813479796e-12
1.0,5.868999890073813e-13
1.0,1.079784815756345e-10
1.0,0.00617293641289714
1.0,0.006172936413576267
1.0,1.9599258683923542
1.0,0.27872472168887447
1.0,0.09536195698619215
2.0,6.822182119052294e-12
2.0,2.4577140607255514e-13
2.0,7.504536185408199e-13
2.0,3.0038397908629675e-12
2.0,1.1588407713568314e-12
2.0,1.6628909598006684e-13
2.0,5.0611577712160366e-12
2.0,1.022175364579212e-12
2.0,3.647671168522159e-12
2.0,2.4472168874913824e-12
2.0,1.3354396238959253e-12
2.0,6.473036796606365e-13
2.0,2.946374635900954e-13
2.0,2.4910258285403533e-13
2.0,1.229930473052905e-13
2.0,8.109972319232349e-14
2.0,1.9597514236729305
2.0,0.38086835741346076
2.0,0.08035377319310155
2.0,0.0803537733410194
2.0,0.13563267213158298
3.0,6.969152065072857e-13
3.0,3.979804696831725e-07
3.0,1.960131120224234
3.0,1.9324375430458396
3.0,1.389396950471391
3.0,1.3414480716397437
3.0,1.332006798671765
3.0,1.3222758391990947
3.0,1.3211568049404803
3.0,1.3180764746698934
3.0,1.3005939085079044
3.0,1.086157870319977
3.0,1.075513413810389
3.0,0.45037938106428776
3.0,0.1921864149361724
3.0,0.14193441638458598
4.0,4.05536550326268e-14
4.0,1.9594078681842628
4.0,1.0584538437841338
4.0,1.025268281984809
4.0,0.914207212553583
4.0,0.913456728800147
4.0,0.9122267762218014
4.0,0.9121720026885012
4.0,0.9120010797954863
4.0,0.9114175354606444
4.0,0.8479912980552742
4.0,0.8000654040984649
4.0,0.5305342394980946
4.0,0.45567673091979793
5.0,2.6963580436374946e-14
5.0,1.9589059226841594
5.0,0.9226865686449242
5.0,0.8315755475904522
5.0,0.8197410592386583
5.0,0.8172970283123716
5.0,0.8150042574056264
5.0,0.8081504674039425
5.0,0.8061398946434309
5.0,0.7955796514600886
5.0,0.7365694026239913
5.0,0.7044726389521923
5.0,0.5414364019609639
5.0,0.1440862267102842
5.0,0.14408622671026414
5.0,0.22453066746906528
5.0,0.18273950415093546
6.0,1.3552701221869816e-14
6.0,2.1150427664426824e-14
6.0,1.5556083128298168e-13
6.0,5.5182246644572216e-14
6.0,1.9585408825321713
6.0,1.0519985387272508
6.0,0.8702403113769629
6.0,0.7854940801567175
6.0,0.776133816250007
6.0,0.7731710568592858
6.0,0.7701120259007826
6.0,0.7535632450408383
6.0,0.7469018784466904
6.0,0.7102562319417985
6.0,0.6834728902696157
6.0,0.5688751023941552
6.0,0.34866659504803005
6.0,0.21504707947507382
7.0,6.401753941581079e-14
7.0,1.9577081108900913
7.0,0.8449670984864828
7.0,0.7968526931560456
7.0,0.7564969412494654
7.0,0.7486548564741118
7.0,0.7457683366254743
7.0,0.7421685267899899
7.0,0.7121854925565143
7.0,0.6992370326435077
7.0,0.6620407039621706
7.0,0.6160483380298474
7.0,0.5683581927475523
7.0,0.1699405505175193
7.0,0.16994055051754847
7.0,0.2654692414593439
7.0,0.21661370735378585
8.0,7.026882747398482e-14
8.0,1.9568937466511838
8.0,1.723597708996213
8.0,0.8322263091978104
8.0,0.7538168284326677
8.0,0.7333784420001866
8.0,0.7269046290222398
8.0,0.724535503884722
8.0,0.7205400979035327
8.0,0.6724090851638574
8.0,0.6615124954692908
8.0,0.6120104416095933
8.0,0.6052311904480445
8.0,0.3583938146999533
8.0,0.24849489297175775
9.0,4.4893339138511956e-14
9.0,1.9559401025693248
9.0,0.16411504490377385
9.0,0.16411504490355805
9.0,0.827825937942412
9.0,0.7730751305056006
9.0,0.7157440778450879
9.0,0.708404816462608
9.0,0.7048813810821576
9.0,0.7041313796949334
9.0,0.7001836846504683
9.0,0.634367030169299
9.0,0.6295303384673605
9.0,0.5905775706559679
9.0,0.4662036050015513
9.0,0.2666835717165358
10.0,1.9548687175036963
10.0,0.891550536116148
10.0,0.8250687642860794
10.0,0.18539451143419786
10.0,0.185394511435125
10.0,0.7264286970537793
10.0,0.7000427378120017
10.0,0.6886125787252476
10.0,0.6845230364437492
10.0,0.6772603313072324
10.0,0.6239421439271299
10.0,0.5869307222379865
10.0,0.5694582639950171
10.0,0.47327527232749056
10.0,0.3223106518017117
10.0,0.2876117673389546
10.0,0.266093567903218
11.0,2.024310729961902e-12
11.0,2.0827098005955064e-14
11.0,1.9535707271452034
11.0,0.11710249451516704
11.0,0.11710249451526784
11.0,0.8298832421136646
11.0,0.7538073055772626
11.0,0.6839883591896813
11.0,0.669618417198086
11.0,0.6621538218765958
11.0,0.6600506111457215
11.0,0.653341802913698
11.0,0.6088946364035508
11.0,0.532660059877785
11.0,0.513888957963856
11.0,0.3641750371166174
11.0,0.2909152166545568
11.0,0.27208091910113225
12.0,1.9353676763360006e-14
12.0,1.9521530805268619
12.0,0.13153726074972455
12.0,0.13153726074963829
12.0,0.9487168329629732
12.0,0.8334167241712375
12.0,0.6921316806647171
12.0,0.20018555112867767
12.0,0.2001855511285824
12.0,0.6425887089410149
12.0,0.6322841144052505
12.0,0.6252662330152933
12.0,0.6232408935727832
12.0,0.6137830440430261
12.0,0.5816477921314722
12.0,0.45521898522367443
12.0,0.4332939894044762
12.0,0.32353417766645215
12.0,0.28282905639472483
12.0,0.2720348031298408
13.0,2.2977101988037453e-14
13.0,1.9504103133135346
13.0,0.1490123527087702
13.0,0.14901235270873564
13.0,0.18700975765376382
13.0,0.18700975765443514
13.0,0.8383066532889037
13.0,0.13979921442432994
13.0,0.13979921442390353
13.0,0.7441115842374159
13.0,0.6228172989894268
13.0,0.5840010622745656
13.0,0.5763235288273474
13.0,0.5693236535951934
13.0,0.5635961578655921
13.0,0.5442593853205271
13.0,0.5275796437660644
13.0,0.3489245104934024
13.0,0.33127986273593774
13.0,0.29656043653404845
13.0,0.2724557983401735
13.0,0.2688106558467319
14.0,5.854934325647784e-14
14.0,1.6013495591516017e-14
14.0,1.7066797032602078e-13
14.0,3.825698691635097e-13
14.0,1.948225990218923
14.0,0.15809253388513145
14.0,0.15809253388537486
14.0,0.21712254740039275
14.0,0.21712254740060694
14.0,0.843687720586051
14.0,0.170959679028417
14.0,0.1709596790287975
14.0,0.5819923215756436
14.0,0.5110459229572788
14.0,0.4777663988326869
14.0,0.4706143694647983
14.0,0.4624534956733587
14.0,0.4541666895647592
14.0,0.4138886191403846
14.0,0.411145312881864
14.0,0.2945225001742466
14.0,0.28823715967959135
14.0,0.28198658931339826
15.0,4.261210468194012e-12
15.0,3.9342521063276506e-13
15.0,1.1501713840455366e-08
15.0,4.415239485167434e-09
15.0,0.15818376066663112
15.0,0.15818376066482553
15.0,1.9441813092157723
15.0,0.16836235260963625
15.0,0.168362352609814
15.0,0.08372509709607678
15.0,0.11621725780661439
15.0,0.11621725780657771
15.0,0.8492098444986877
15.0,0.6550398559227464
15.0,0.38136928620611804
15.0,0.324119710282077
15.0,0.30251775938379605
15.0,0.28735489701972566
15.0,0.2776729766245482
16.0,2.0453287771099636e-13
16.0,5.382444150289074e-14
16.0,9.660406695755547e-13
16.0,1.093099777087568e-12
16.0,1.689611289789756e-13
16.0,6.43955367840875e-13
16.0,2.1837462900535867e-12
16.0,1.244812471871263e-11
16.0,6.503491093835669e-10
16.0,8.027560250115829e-09
16.0,2.6471715102317544e-13
16.0,3.6956181792479054e-13
16.0,1.942627565881558
16.0,0.18980664981118783
16.0,0.18980664981109233
16.0,1.4228214326288966
16.0,0.8543259605667279
16.0,0.7953267724199506
16.0,0.44470639111564564
17.0,1.1270633886719705e-12
17.0,36.115616142248406
17.0,1.9522576627406993
17.0,1.7988710899808877
17.0,0.22313226229248345
17.0,0.22313226229236094
17.0,1.602581607047292
17.0,1.5952154407415533
17.0,1.5572112181833109
17.0,1.5442544610766888
17.0,1.4819866091383116
17.0,1.3400269259646909
17.0,1.1245414845194388
17.0,0.9589522914974312
17.0,0.8586923798823626
17.0,0.23855509379265985
17.0,0.23855509379269058
17.0,0.4405535938202397
17.0,0.3773517135238266
18.0,7.1489406209815e-11
18.0,7.020240130407721e-11
18.0,1.9425263277540816
18.0,1.93750696531672
18.0,0.24874455272044455
18.0,0.24874455272023882
18.0,1.2350566995513161
18.0,1.1686020511347792
18.0,1.116572726134107
18.0,1.1087703407826401
18.0,1.1010064788324645
18.0,1.0930636418364845
18.0,1.047903995624761
18.0,1.0475614699359546
18.0,0.8634859987253093
18.0,0.4790161014658071
18.0,0.47233237335809053
18.0,0.3469321357987553
18.0,0.3462655744738362
19.0,1.9383191444582606
19.0,0.28112898945652615
19.0,0.28112898945656817
19.0,1.597012686836593
19.0,0.2999699359223658
19.0,0.2999699359223713
19.0,1.0501959801131437
19.0,1.0418497471981456
19.0,0.9898569564521711
19.0,0.968159119341639
19.0,0.9628365904921696
19.0,0.9594730692531036
19.0,0.9588063049037863
19.0,0.9284516211971159
19.0,0.8663587531983313
19.0,0.8340910161432414
19.0,0.41309408149280036
19.0,0.4065052580591945
20.0,2.864888553314293e-12
20.0,1.2705157932089557e-12
20.0,0.2574449969088822
20.0,0.2574449969088488
20.0,1.9342633353044494
20.0,0.31459373893507314
20.0,0.31459373893507114
20.0,1.3395864606529533
20.0,0.9735818579773879
20.0,0.9721966965060533
20.0,0.9247875108742378
20.0,0.9194472279598485
20.0,0.9145249174376314
20.0,0.8995448566448501
20.0,0.8976572039175633
20.0,0.8648865905294371
20.0,0.8343112855444715
20.0,0.23687886787885568
20.0,0.23687886787888207
20.0,0.6535907661129705
20.0,0.3971264059694228
20.0,0.39311866301372284
21.0,5.143956685912216e-12
21.0,2.6447350618083782e-11
21.0,6.22193502217683e-12
21.0,8.301429411256079
21.0,0.3516182822326539
21.0,0.3516182822326494
21.0,1.9298080794376689
21.0,1.2222932755881948
21.0,0.2594171912401715
21.0,0.2594171912398714
21.0,0.9319152497256985
21.0,0.9314723190179093
21.0,0.9040340109313848
21.0,0.886368745363619
21.0,0.8832049761130908
21.0,0.8595385254322425
21.0,0.8590793674712223
21.0,0.8523331920009546
21.0,0.7600558692414322
21.0,0.5655547936484467
21.0,0.38965468975984385
21.0,0.387253459690763
21.0,0.33290221363660055
22.0,2.8538147732001684e-10
22.0,1.955951679250628e-10
22.0,5.486870798459804
22.0,2.055721309680029
22.0,0.39332995598337883
22.0,0.3933299559833826
22.0,1.9247246051664124
22.0,0.27759683329504614
22.0,0.2775968332950372
22.0,1.1526856805675172
